	percentage	ssgsea_score_STD	Case
180	81	6.091825804010155	RS0005
181	82	6.8134818561797275	RS0005
182	83	6.823760030106952	RS0005
183	84	6.871917536027436	RS0005
184	85	6.789236730941839	RS0005
185	86	7.509246186026517	RS0005
186	87	6.876649439598371	RS0005
187	88	7.309651678029166	RS0005
188	89	7.25538819286469	RS0005
189	90	6.6919043824039806	RS0005
190	91	7.034697988329217	RS0005
191	92	6.837901557037673	RS0005
192	93	6.590001576313277	RS0005
193	94	7.147087282790973	RS0005
194	95	7.227975120167691	RS0005
195	96	7.555615050937125	RS0005
196	97	7.675570151191329	RS0005
197	98	7.076135429382362	RS0005
198	0	5.844497308521008	RS0007
199	1	5.705734551516951	RS0007
200	2	5.684955738588192	RS0007
201	3	5.552902898775548	RS0007
202	4	4.636948059940563	RS0007
203	5	4.881095635397444	RS0007
204	6	4.536030560317727	RS0007
205	7	4.147769190533309	RS0007
206	8	4.0678536317001655	RS0007
207	9	4.177588858161894	RS0007
208	10	4.149427991211631	RS0007
209	11	4.10036223140896	RS0007
210	12	4.1877986237153735	RS0007
211	13	3.8927158798200407	RS0007
212	14	3.9214845249885135	RS0007
213	15	4.167211916257801	RS0007
214	16	3.90823537080173	RS0007
215	17	3.9548507903858536	RS0007
216	18	3.520644400616371	RS0007
217	19	3.834483101761312	RS0007
218	20	3.8739343713713312	RS0007
219	21	4.16794726233252	RS0007
220	22	3.626551566070248	RS0007
221	23	3.3380654904348765	RS0007
222	24	4.055369102243758	RS0007
223	25	4.039243304032221	RS0007
224	26	3.7814821202215145	RS0007
225	27	3.8959629846586976	RS0007
226	28	3.2374287949089595	RS0007
227	29	3.605026815566188	RS0007
228	30	3.304522955189245	RS0007
229	31	4.074473340227133	RS0007
230	32	4.018074506367658	RS0007
231	33	3.393019536466321	RS0007
232	34	3.679757147462264	RS0007
233	35	4.2208336204693095	RS0007
234	36	4.211620792608797	RS0007
235	37	4.582681440911239	RS0007
236	38	3.875257034898865	RS0007
237	39	3.916127573057767	RS0007
238	40	4.1997759807470745	RS0007
239	41	4.541985134548971	RS0007
240	42	4.1100339491169935	RS0007
241	43	4.399932457935297	RS0007
242	44	4.031936291826287	RS0007
243	45	4.432751064454218	RS0007
244	46	4.669722799776191	RS0007
245	47	4.158370889917073	RS0007
246	48	3.979789397630776	RS0007
247	49	4.220188598634117	RS0007
248	50	4.405653543370945	RS0007
249	51	4.603921742031201	RS0007
250	52	4.97294360496294	RS0007
251	53	4.555594565707058	RS0007
252	54	4.386959846536153	RS0007
253	55	4.588692766249351	RS0007
254	56	5.017251644652505	RS0007
255	57	4.4333006154190375	RS0007
256	58	4.377599671718389	RS0007
257	59	4.595060006008488	RS0007
258	60	4.83728824336379	RS0007
259	61	5.150546560051963	RS0007
260	62	5.145785767833484	RS0007
261	63	4.62635107444576	RS0007
262	64	4.868910846776318	RS0007
263	65	5.404403550698857	RS0007
264	66	5.361121531324092	RS0007
265	67	5.03089892547867	RS0007
266	68	5.124635578423778	RS0007
267	69	5.209844778077102	RS0007
268	70	5.089222461224106	RS0007
269	71	5.4977373936981655	RS0007
270	72	5.068691765323581	RS0007
271	73	5.227492169413843	RS0007
272	74	4.8090335272133	RS0007
273	75	4.9769346885463115	RS0007
274	76	5.346107438588559	RS0007
275	77	5.059983686502397	RS0007
276	78	5.438671503810558	RS0007
277	79	5.879241893975233	RS0007
278	80	4.855118333645829	RS0007
279	81	5.193927798911072	RS0007
280	82	5.202055815007937	RS0007
281	83	5.514674887172295	RS0007
282	84	5.31640380453963	RS0007
283	85	5.696830660718026	RS0007
284	86	5.582933908754013	RS0007
285	87	5.681277540195952	RS0007
286	88	6.0632446928125265	RS0007
287	89	5.812857179509391	RS0007
288	90	5.710434682534928	RS0007
289	91	5.815544620248274	RS0007
290	92	5.716860500397442	RS0007
291	93	5.387914318392248	RS0007
292	94	5.598435061478978	RS0007
293	95	5.716747117799234	RS0007
294	96	5.825586914574791	RS0007
295	97	6.2286945227414225	RS0007
296	98	5.588447046598829	RS0007
297	0	6.5591701383874685	RS0008
298	1	6.449570676352873	RS0008
299	2	6.1523813962133636	RS0008
300	3	5.987337908971602	RS0008
301	4	5.341381645268267	RS0008
302	5	6.167699923710756	RS0008
303	6	4.7224084611966255	RS0008
304	7	4.378635730821187	RS0008
305	8	4.62594657264185	RS0008
306	9	4.999904835803995	RS0008
307	10	4.577539288460744	RS0008
308	11	4.83757171635421	RS0008
309	12	5.434645111883608	RS0008
310	13	4.517955278366974	RS0008
311	14	4.240171587556414	RS0008
312	15	4.173889842496942	RS0008
313	16	4.186255044715643	RS0008
314	17	4.050209699194232	RS0008
315	18	4.149956371881713	RS0008
316	19	4.3477158953153525	RS0008
317	20	4.152364949779416	RS0008
318	21	4.952343807489325	RS0008
319	22	3.9818342927163655	RS0008
320	23	4.052293167935397	RS0008
321	24	5.026620344465431	RS0008
322	25	4.471542716503953	RS0008
323	26	4.235953655482482	RS0008
324	27	3.6026150304897704	RS0008
325	28	3.855529625780367	RS0008
326	29	5.130352002896353	RS0008
327	30	4.577498507822688	RS0008
328	31	4.640681739254961	RS0008
329	32	4.986089125812676	RS0008
330	33	4.0479558742241295	RS0008
331	34	4.636260084784186	RS0008
332	35	5.346393755904759	RS0008
333	36	5.053608876283859	RS0008
334	37	6.147274028104117	RS0008
335	38	4.639833848193614	RS0008
336	39	5.25397944108434	RS0008
337	40	5.384293181403579	RS0008
338	41	5.288263834169814	RS0008
339	42	5.3585382776486	RS0008
340	43	5.803864537777532	RS0008
341	44	5.453937983660262	RS0008
342	45	5.703997613516514	RS0008
343	46	6.911696880550848	RS0008
344	47	5.3996569564468455	RS0008
345	48	5.282462477003216	RS0008
346	49	6.319048518023873	RS0008
347	50	5.969526859130919	RS0008
348	51	5.4137977458630875	RS0008
349	52	6.171141514425466	RS0008
350	53	7.639024106364296	RS0008
351	54	6.555372316543691	RS0008
352	55	7.646800727315058	RS0008
353	56	6.690904232859632	RS0008
354	57	6.050885789386873	RS0008
355	58	5.956540908301551	RS0008
356	59	6.760351770135569	RS0008
357	60	6.640971882260608	RS0008
358	61	5.8488500038719975	RS0008
359	62	6.286493785350946	RS0008
360	63	6.272745203084845	RS0008
361	64	7.069618498369673	RS0008
362	65	8.301724196219697	RS0008
363	66	7.769531546747002	RS0008
364	67	7.242835612578763	RS0008
365	68	7.469697580511003	RS0008
366	69	7.268459455119352	RS0008
367	70	5.7221276818585185	RS0008
368	71	8.951872075987009	RS0008
369	72	7.304235984826676	RS0008
370	73	7.354060099250774	RS0008
371	74	7.144787341976401	RS0008
372	75	7.551575479204446	RS0008
373	76	7.434262637696796	RS0008
374	77	7.651213106095032	RS0008
375	78	7.804041673455335	RS0008
376	79	8.179669403038254	RS0008
377	80	7.80608434945385	RS0008
378	81	6.404468329991162	RS0008
379	82	7.872329873046503	RS0008
380	83	8.211012680098339	RS0008
381	84	8.052766209426688	RS0008
382	85	8.052406456110457	RS0008
383	86	9.075794588650933	RS0008
384	87	8.082360231563	RS0008
385	88	8.96810948934502	RS0008
386	89	8.6979129130046	RS0008
387	90	7.2374042853149145	RS0008
388	91	7.9559893606790935	RS0008
389	92	7.912831439641962	RS0008
390	93	8.142571757365555	RS0008
391	94	8.422568389587644	RS0008
392	95	8.788405725897585	RS0008
393	96	9.277745410328723	RS0008
394	97	9.368878825459298	RS0008
395	98	8.599093301770498	RS0008
396	0	4.42527934208252	RS0013
397	1	4.20061168063139	RS0013
398	2	4.125081949363292	RS0013
399	3	4.1120721976127985	RS0013
400	4	3.79944450382304	RS0013
401	5	3.8701925927259295	RS0013
402	6	3.211792543486125	RS0013
403	7	2.8619439553943544	RS0013
404	8	2.9833482121087345	RS0013
405	9	3.492071456869538	RS0013
406	10	3.3297682493179055	RS0013
407	11	3.3357901542056245	RS0013
408	12	3.9368083417727653	RS0013
409	13	3.976361303727972	RS0013
410	14	3.7376327176673425	RS0013
411	15	3.363835447690873	RS0013
412	16	3.343681840064343	RS0013
413	17	3.0663731352083152	RS0013
414	18	3.147125173335938	RS0013
415	19	3.2405389349349702	RS0013
416	20	3.3965584199195176	RS0013
417	21	3.3650257092892444	RS0013
418	22	2.6368339975267583	RS0013
419	23	2.5687895927268456	RS0013
420	24	2.9936095873155124	RS0013
421	25	2.9674968400854715	RS0013
422	26	2.98682813713681	RS0013
423	27	2.7094267321478758	RS0013
424	28	2.3175966918626516	RS0013
425	29	3.1689722732336327	RS0013
426	30	2.7452689885976076	RS0013
427	31	2.8783932261078764	RS0013
428	32	2.851214015765757	RS0013
