	percentage	ssgsea_score_STD	Case
256	58	37.99833667488257	RS0007
257	59	49.72760398471251	RS0007
258	60	32.49626428227871	RS0007
259	61	47.22280259371572	RS0007
260	62	49.99936259130162	RS0007
261	63	31.053720594330606	RS0007
262	64	46.66453463609015	RS0007
263	65	53.216956288387316	RS0007
264	66	54.716222042303876	RS0007
265	67	46.35706765149166	RS0007
266	68	23.162991526524305	RS0007
267	69	48.46484551026133	RS0007
268	70	55.10927184106023	RS0007
269	71	54.21209878800372	RS0007
270	72	53.37071751176966	RS0007
271	73	45.12465432137102	RS0007
272	74	71.25650443419742	RS0007
273	75	56.45914269840099	RS0007
274	76	49.852956628259406	RS0007
275	77	55.5443660229676	RS0007
276	78	56.778415377381805	RS0007
277	79	78.24156976089186	RS0007
278	80	70.18474043325868	RS0007
279	81	48.711861664541104	RS0007
280	82	50.926617369199505	RS0007
281	83	67.49667843620014	RS0007
282	84	68.8197489013822	RS0007
283	85	71.71822126003633	RS0007
284	86	48.11578907774243	RS0007
285	87	95.29927388740249	RS0007
286	88	92.73454645126904	RS0007
287	89	76.13720965813691	RS0007
288	90	63.44737573838694	RS0007
289	91	79.6048274570729	RS0007
290	92	66.86105976574963	RS0007
291	93	79.61800053431483	RS0007
292	94	66.98283070308226	RS0007
293	95	103.82493056292948	RS0007
294	96	117.02340285836891	RS0007
295	97	97.43594159708573	RS0007
296	98	97.79158904651479	RS0007
297	0	6.5591701383874685	RS0008
298	1	6.611312427631564	RS0008
299	2	7.658098381178087	RS0008
300	3	5.355568624414883	RS0008
301	4	8.718124540176948	RS0008
302	5	4.943904834860661	RS0008
303	6	5.969841748627021	RS0008
304	7	2.638366740502668	RS0008
305	8	5.701019199533171	RS0008
306	9	7.141007932247519	RS0008
307	10	7.149966387106872	RS0008
308	11	5.569696088540212	RS0008
309	12	2.8170082493499833	RS0008
310	13	7.800594845384806	RS0008
311	14	1.7824060446527112	RS0008
312	15	7.4335775325523095	RS0008
313	16	10.103508504066625	RS0008
314	17	7.308677489881471	RS0008
315	18	8.331571780540154	RS0008
316	19	7.785097219902186	RS0008
317	20	11.282719700394777	RS0008
318	21	6.53390481316421	RS0008
319	22	4.974218316591675	RS0008
320	23	6.625341220824344	RS0008
321	24	12.938235528273639	RS0008
322	25	11.47468034006614	RS0008
323	26	14.845563117847506	RS0008
324	27	13.177605483876413	RS0008
325	28	11.005582294492923	RS0008
326	29	5.68138754880765	RS0008
327	30	9.320030669146876	RS0008
328	31	4.782215926704195	RS0008
329	32	15.719409234511142	RS0008
330	33	5.30444205128143	RS0008
331	34	5.317560486160898	RS0008
332	35	12.927918642575811	RS0008
333	36	18.2475862199494	RS0008
334	37	20.348878572593215	RS0008
335	38	13.93792569909491	RS0008
336	39	15.361028612518144	RS0008
337	40	17.444459772758506	RS0008
338	41	20.19992629446505	RS0008
339	42	18.695268642765768	RS0008
340	43	16.31770355684073	RS0008
341	44	17.73976277199069	RS0008
342	45	20.161837352412697	RS0008
343	46	29.751039161534955	RS0008
344	47	16.97291953134397	RS0008
345	48	18.89727743617044	RS0008
346	49	20.03727569225246	RS0008
347	50	8.538677124020829	RS0008
348	51	27.00396675236972	RS0008
349	52	20.23515713974986	RS0008
350	53	21.27511814287682	RS0008
351	54	22.746623615134812	RS0008
352	55	21.239037748646446	RS0008
353	56	15.733114868558022	RS0008
